,0
1089,2520
1090,720
1091,1260
1092,840
1093,720
1094,1380
1095,1680
1096,360
1097,540
1098,240
1099,300
1100,360
1101,300
1102,420
1103,420
1104,960
1105,360
1106,1020
1107,600
1108,1440
1109,480
1110,180
1111,780
1112,720
1113,600
1114,540
1115,1500
1116,480
1117,660
1118,1020
1119,1860
1120,180
1121,540
1122,1020
1123,60
1124,600
1125,780
1126,180
1127,480
1128,180
1129,1020
1130,540
1131,420
1132,360
1133,960
1134,840
1135,960
1136,720
1137,840
1138,1200
1139,720
1140,540
1141,660
1142,780
1143,1860
1144,840
1145,1260
1146,480
1147,900
1148,2580
1149,1
1150,2
1151,64
1152,1851
1153,474
1154,18
1155,2655
1156,9
1157,48
1158,1345
1159,67
1160,1
1161,1
1162,2
1163,5
1164,588
1165,1
1166,44
1167,256
1168,234
1169,552
1170,1688
1171,1047
1172,262
1173,2
1174,3
1175,282
1176,768
1177,466
1178,144
1179,1195
1180,326
1181,95
1182,30
1183,47
1184,194
1185,457
1186,190
1187,353
1188,856
1189,1
1190,1
1191,2076
1192,4
1193,12
1194,1
1195,696
1196,543
1197,377
1198,386
1199,729
1200,301
1201,309
1202,479
1203,254
1204,2383
1205,1228
1206,10
1207,390
1208,1
1209,2
1210,1
1211,1
1212,645
1213,6
1214,357
1215,290
1216,445
1217,470
1218,857
1219,2
1220,911
1221,1
1222,1
1223,2
1224,464
1225,602
1226,1
1227,79
1228,748
1229,750
1230,550
1231,445
1232,2
1233,1889
1234,646
1235,787
1236,1
1237,52
1238,170
1239,929
1240,1
1241,869
1242,528
1243,720
1244,518
1245,286
1246,1902
1247,18
1248,13
1249,668
1250,248
1251,501
1252,2
1253,720
1254,1500
1255,1380
1256,600
1257,1920
1258,1800
1259,900
1260,1980
1261,1080
1262,360
1263,2460
1264,1620
1265,1440
1266,1620
1267,1260
1268,1140
1269,540
1270,840
1271,1020
1272,600
1273,2100
1274,1500
1275,1680
1276,1140
1277,2100
1278,1440
1279,1800
1280,2220
1281,1800
1282,2580
1283,1620
1284,1500
1285,1560
1286,1080
