,Name,Price,Seller,Amount Sold,Seller's town,Rating
208,"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,250+ terjual,Tangerang Selatan,4.8
209,"seblak ceker 250 gr pedas daun jeruk, gurih,cemilan bikin nagih",Rp9.999,aghniya,60+ terjual,Tangerang Selatan,4.8
210,Kerupuk seblak pedas daun jeruk 1kg,Rp35.000,HR_SNACK,,Kab.Ciamis,
211,Seblak Kering Gurih 65gram - Seblak 65gr,Rp10.965,Lidigeli,90+ terjual,Kab. Garut,4.9
212,Seblak Kerupuk,Rp12.000,agen produk organik jkt,,Jakarta Timur,
213,Kerupuk seblak pedas mawar daun jeruk (kerupuk rafael) 450gr,Rp17.000,snackmartbdg,,Kab. Subang,
214,Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp15.000,DUO BOCIL SNACK,18 terjual,Depok,5.0
215,Kerupuk seblak Rafael pedas daun jeruk kencur renyah maknyus,Rp13.000,toko ultah dan pesta,7 terjual,Jakarta Timur,
216,SEBLAK CEKER CAP DUA PUTRA ISI 20 X 10 gram,Rp9.000,HRNWN STORE,5 terjual,Kab. Tangerang,5.0
217,KERUPUK SEBLAK RAFAEL KERING BANTAT PEDES DAUN JERUK 250gr,Rp16.000,AyundaSnack,40+ terjual,Bandung,4.8
218,SEBLAK INSTAN ORI/SEBLAK INSTAN KERUPUK/SEBLAK INSTAN MURAH,Rp3.899,dakar_ofc,80+ terjual,Kab. Mojokerto,4.2
219,MAKARONI bantet 70gr krupuk SEBLAK krupuk UDANG KERUPUK BANTET,Rp2.600,NomeL Shop,500+ terjual,Surabaya,4.8
220,Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,2rb+ terjual,Tangerang Selatan,4.8
221,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp15.000,Central Seblak Nusantara,2rb+ terjual,Tangerang Selatan,4.9
222,seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,750+ terjual,Jakarta Barat,4.8
223,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,100+ terjual,Kab. Garut,4.9
224,seblak instan jeletot jajanan hits bandung 1 porsi,Rp4.180,tokomakanankalimantan,1rb+ terjual,Jakarta Barat,4.8
225,"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,250+ terjual,Tangerang Selatan,4.8
226,KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,Rp25.000,LEGIT SNACK,24 terjual,Jakarta Barat,5.0
227,Kerupuk Seblak / Seblak / Kering Pedas /,Rp9.800,Anggris store,40+ terjual,Kab. Bogor,4.8
228,"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,750+ terjual,Tangerang Selatan,4.9
229,"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",Rp8.000,global cookware1,500+ terjual,Jakarta Barat,4.9
230,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,Rp40.000,Naturally Plus Jakarta,100+ terjual,Kab. Tangerang,5.0
231,Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,Rp20.000,KRIUK JAYA,26 terjual,Jakarta Barat,4.9
232,Krupuk seblak mawar rafael pedas 500gr,Rp20.000,Markas Makaroni,100+ terjual,Kab. Bekasi,4.9
233,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,100+ terjual,Kab. Garut,4.9
234,Krupuk seblak mawar rafael pedas 250gram,Rp12.500,Markas Makaroni,100+ terjual,Kab. Bekasi,4.7
